Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
13,San Francisco Giants2.0,STL1.2,PHI1.9,PIT0.0,KCR-1.0,BAL0.1,BOS0.1,SFG-0.3,BAL0.6,ARI0.6,ATL0.5,NYY1.4,KCR0.0,DET1.3,PIT-0.1,HOU-0.7
14,Tampa Bay Rays0.5,MIA0.8,MIL1.8,TEX-0.1,MIA-1.5,STL0.1,SFG0.1,TOR-0.4,TOR0.4,KCR0.5,BOS0.2,STL1.0,COL-0.1,ATL1.3,NYM-0.1,LAA-0.7
15,Atlanta Braves0.3,LAA0.7,LAA1.2,LAA-0.3,BOS-1.8,MIN0.1,CIN0.0,WSN-0.6,NYM0.2,HOU0.4,COL0.2,MIN1.0,PIT-0.1,NYY1.3,CIN-0.1,CHW-1.0
16,Miami Marlins-0.7,SDP0.2,BAL0.7,BOS-0.4,SEA-1.8,WSN0.1,STL-0.1,CIN-0.7,CHW-0.3,SEA0.3,SDP0.1,COL0.8,TBR-0.4,COL0.9,ARI-0.1,SEA-1.0
17,New York Mets-1.4,MIL0.0,MIA0.5,CHC-0.5,CHW-2.1,TOR-0.3,SDP-0.1,MIL-1.0,CHC-0.4,CIN0.1,NYM-0.2,BOS0.6,DET-0.4,MIL0.3,CHC-0.1,SFG-1.1
18,Cincinnati Reds-2.5,CIN-0.2,TOR0.2,MIN-0.5,CIN-2.3,TEX-0.4,OAK-0.5,NYY-1.2,ARI-0.5,NYM0.1,LAA-0.5,CLE0.6,SEA-0.8,HOU0.2,SDP-0.1,STL-1.1
19,Milwaukee Brewers-2.9,SFG-0.7,HOU0.0,MIL-0.6,TBR-2.8,DET-0.5,NYY-1.0,OAK-1.2,PIT-0.5,CLE0.1,MIL-0.6,LAD0.6,NYM-1.2,SFG0.2,ATL-0.2,CIN-1.1
20,New York Yankees-5.5,NYY-0.8,NYY-1.2,TBR-0.7,MIL-2.9,HOU-0.6,TBR-1.2,CHC-1.3,SDP-0.6,MIN-0.2,SEA-0.6,HOU0.5,SDP-1.2,CLE-0.5,HOU-0.3,SDP-1.2
21,Colorado Rockies-5.6,TOR-2.0,CHW-1.5,NYM-1.8,HOU-3.7,ATL-0.8,SEA-1.5,TEX-1.4,CLE-0.6,CHC-0.3,HOU-1.1,CIN0.2,MIL-1.4,STL-0.8,OAK-0.3,TEX-1.2
22,Chicago Cubs-5.8,PIT-3.8,NYM-1.7,TOR-2.1,ARI-4.0,COL-1.0,MIL-1.6,BAL-1.5,LAA-1.2,MIA-0.9,SFG-1.6,OAK0.1,NYY-1.5,CHW-1.2,LAA-0.6,ARI-1.3
23,Philadelphia Phillies-6.1,NYM-4.2,SFG-2.1,STL-2.4,ATL-4.6,NYM-1.1,KCR-1.7,KCR-1.5,MIA-1.3,SDP-1.0,WSN-1.7,SFG0.0,TEX-2.0,ARI-1.6,TBR-0.6,MIN-1.4
24,San Diego Padres-6.2,MIN-4.2,SDP-2.2,DET-2.7,MIN-4.7,ARI-1.2,MIN-1.7,CLE-1.6,MIL-1.5,OAK-1.0,CHW-1.7,DET0.0,CHC-2.1,SDP-1.8,CHW-0.7,MIA-1.5
25,Chicago White Sox-8.1,TEX-6.0,COL-2.4,LAD-2.9,NYY-4.7,MIA-1.4,PIT-1.9,COL-1.7,KCR-1.8,DET-1.1,CHC-2.2,TOR-0.1,CHW-2.3,TEX-2.5,MIN-1.6,CLE-1.6
26,Minnesota Twins-8.9,CHW-6.0,PIT-2.7,CIN-4.2,CLE-5.9,SEA-1.7,CLE-1.9,MIA-1.7,DET-2.3,MIL-1.4,ARI-2.2,SDP-0.7,ARI-2.4,SEA-3.2,KCR-2.2,ATL-1.6
27,Boston Red Sox-11.1,HOU-8.0,MIN-3.6,CHW-4.2,SDP-6.4,BOS-1.8,MIA-2.4,CHW-1.7,ATL-2.3,BOS-1.5,TEX-2.4,PHI-1.4,MIN-2.7,PHI-3.3,NYY-2.2,WSN-1.6
28,Houston Astros-11.7,COL-9.1,ARI-5.3,ARI-5.2,PHI-8.0,CHC-2.2,HOU-3.0,ARI-2.0,BOS-2.4,TEX-1.6,CIN-2.6,CHC-1.5,STL-2.8,MIN-4.7,TEX-2.3,MIL-1.7
29,Texas Rangers-14.7,BOS-9.3,TEX-5.9,COL-6.6,TEX-8.7,LAD-2.6,TEX-3.1,ATL-2.5,PHI-2.6,TBR-1.8,PHI-3.0,SEA-1.8,CIN-3.0,CIN-5.4,SEA-2.3,PHI-2.1
30,Arizona Diamondbacks-14.8,ARI-10.8,BOS-8.9,HOU-8.0,CHC-9.3,TBR-3.0,PHI-3.4,SDP-2.7,HOU-2.9,NYY-3.4,MIN-3.0,ATL-2.2,CLE-3.0,CHC-5.8,CLE-2.6,CHC-2.6
